Data Table for Daily Death Trends - The United States
Date generated: Thu Dec 02 2021 14:44:28 GMT-0800 (Pacific Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Jun 22 2021,311,276,0
United States,Jun 21 2021,263,276,8
United States,Jun 20 2021,216,267,0
United States,Jun 19 2021,252,258,0
United States,Jun 18 2021,273,252,0
United States,Jun 17 2021,281,270,0
United States,Jun 16 2021,338,287,0
United States,Jun 15 2021,310,291,0
United States,Jun 14 2021,205,292,0
United States,Jun 13 2021,149,309,0
United States,Jun 12 2021,212,348,0
United States,Jun 11 2021,397,374,0
United States,Jun 10 2021,398,403,0
United States,Jun  9 2021,368,414,18
United States,Jun  8 2021,315,433,0
United States,Jun  7 2021,325,436,0
United States,Jun  6 2021,426,421,0
United States,Jun  5 2021,395,398,0
United States,Jun  4 2021,597,384,0
United States,Jun  3 2021,477,399,0
United States,Jun  2 2021,499,409,0
United States,Jun  1 2021,336,412,0
United States,May 31 2021,222,435,0
United States,May 30 2021,260,454,0
United States,May 29 2021,297,457,0
United States,May 28 2021,703,472,0
United States,May 27 2021,548,466,0
United States,May 26 2021,518,463,0
United States,May 25 2021,497,476,0
United States,May 24 2021,361,491,217
United States,May 23 2021,281,493,0
United States,May 22 2021,401,517,0
United States,May 21 2021,659,520,0
United States,May 20 2021,530,524,0
United States,May 19 2021,609,532,0
United States,May 18 2021,599,547,0
United States,May 17 2021,376,548,0
United States,May 16 2021,448,554,0
United States,May 15 2021,423,548,0
United States,May 14 2021,689,576,0
United States,May 13 2021,586,593,0
United States,May 12 2021,708,605,0
United States,May 11 2021,612,607,0
United States,May 10 2021,414,619,0
United States,May  9 2021,406,625,0
United States,May  8 2021,623,640,0
United States,May  7 2021,808,640,0
United States,May  6 2021,668,637,0
United States,May  5 2021,722,652,0
United States,May  4 2021,692,671,0
United States,May  3 2021,462,647,0
United States,May  2 2021,510,652,0
United States,May  1 2021,622,640,0
United States,Apr 30 2021,788,646,0
United States,Apr 29 2021,773,655,0
United States,Apr 28 2021,852,656,0
United States,Apr 27 2021,525,645,0
United States,Apr 26 2021,495,675,0
United States,Apr 25 2021,430,674,0
United States,Apr 24 2021,661,686,0
United States,Apr 23 2021,851,682,0
United States,Apr 22 2021,783,677,0
United States,Apr 21 2021,774,677,0
United States,Apr 20 2021,736,681,0
United States,Apr 19 2021,487,682,0
United States,Apr 18 2021,510,688,0
United States,Apr 17 2021,636,683,0
United States,Apr 16 2021,813,699,0
United States,Apr 15 2021,784,702,0
United States,Apr 14 2021,801,714,0
United States,Apr 13 2021,748,716,0
United States,Apr 12 2021,528,712,0
United States,Apr 11 2021,473,690,0
United States,Apr 10 2021,747,696,0
United States,Apr  9 2021,838,695,26
United States,Apr  8 2021,863,694,0
United States,Apr  7 2021,819,687,0
United States,Apr  6 2021,721,707,0
United States,Apr  5 2021,370,708,0
United States,Apr  4 2021,517,733,0
United States,Apr  3 2021,740,749,0
United States,Apr  2 2021,833,764,0
United States,Apr  1 2021,815,797,0
United States,Mar 31 2021,958,822,0
United States,Mar 30 2021,725,845,0
United States,Mar 29 2021,548,847,0
United States,Mar 28 2021,624,902,0
United States,Mar 27 2021,848,890,0
United States,Mar 26 2021,1063,871,0
United States,Mar 25 2021,990,890,0
United States,Mar 24 2021,1119,868,0
United States,Mar 23 2021,743,857,0
United States,Mar 22 2021,928,874,0
United States,Mar 21 2021,543,841,0
United States,Mar 20 2021,717,856,0
United States,Mar 19 2021,1194,892,0
United States,Mar 18 2021,834,905,0
United States,Mar 17 2021,1042,974,0
United States,Mar 16 2021,861,1051,0
United States,Mar 15 2021,696,1071,0
United States,Mar 14 2021,653,1089,0
United States,Mar 13 2021,970,1125,0
United States,Mar 12 2021,1279,1167,165
United States,Mar 11 2021,1317,1264,0
United States,Mar 10 2021,1581,1297,0
United States,Mar  9 2021,1002,1292,138
United States,Mar  8 2021,823,1342,0
United States,Mar  7 2021,904,1403,0
United States,Mar  6 2021,1267,1428,0
United States,Mar  5 2021,1958,1476,0
United States,Mar  4 2021,1547,1469,0
United States,Mar  3 2021,1547,1666,0
United States,Mar  2 2021,1350,1732,0
United States,Mar  1 2021,1250,1779,0
United States,Feb 28 2021,1078,1818,0
United States,Feb 27 2021,1606,1885,0
United States,Feb 26 2021,1906,1914,0
United States,Feb 25 2021,2930,1990,0
United States,Feb 24 2021,2009,1891,0
United States,Feb 23 2021,1678,1917,0
United States,Feb 22 2021,1521,1881,0
United States,Feb 21 2021,1545,1862,0
United States,Feb 20 2021,1812,1864,0
United States,Feb 19 2021,2439,1901,0
United States,Feb 18 2021,2237,1912,0
United States,Feb 17 2021,2190,2053,0
United States,Feb 16 2021,1425,2143,0
United States,Feb 15 2021,1387,2286,0
United States,Feb 14 2021,1559,2331,0
United States,Feb 13 2021,2071,2368,1204
United States,Feb 12 2021,2517,2466,2559
United States,Feb 11 2021,3228,2595,0
United States,Feb 10 2021,2819,2578,0
United States,Feb  9 2021,2421,2652,0
United States,Feb  8 2021,1703,2728,0
United States,Feb  7 2021,1819,2811,0
United States,Feb  6 2021,2756,2879,0
United States,Feb  5 2021,3423,2881,0
United States,Feb  4 2021,3108,2860,0
United States,Feb  3 2021,3339,2966,0
United States,Feb  2 2021,2954,3059,0
United States,Feb  1 2021,2283,3143,0
United States,Jan 31 2021,2291,3121,0
United States,Jan 30 2021,2772,3150,0
United States,Jan 29 2021,3273,3181,0
United States,Jan 28 2021,3855,3241,0
United States,Jan 27 2021,3989,3239,0
United States,Jan 26 2021,3542,3220,0
United States,Jan 25 2021,2126,3107,0
United States,Jan 24 2021,2494,3132,0
United States,Jan 23 2021,2994,3144,0
United States,Jan 22 2021,3690,3221,0
United States,Jan 21 2021,3838,3180,0
United States,Jan 20 2021,3861,3163,0
United States,Jan 19 2021,2747,3190,0
United States,Jan 18 2021,2301,3313,0
United States,Jan 17 2021,2583,3361,0
United States,Jan 16 2021,3528,3357,0
United States,Jan 15 2021,3402,3329,0
United States,Jan 14 2021,3724,3385,0
United States,Jan 13 2021,4047,3420,0
United States,Jan 12 2021,3606,3393,0
United States,Jan 11 2021,2641,3378,0
United States,Jan 10 2021,2555,3299,0
United States,Jan  9 2021,3333,3225,0
United States,Jan  8 2021,3792,3086,0
United States,Jan  7 2021,3971,2977,0
United States,Jan  6 2021,3855,2950,0
United States,Jan  5 2021,3505,2937,0
United States,Jan  4 2021,2086,2915,0
United States,Jan  3 2021,2034,2940,0
United States,Jan  2 2021,2363,2919,0
United States,Jan  1 2021,3031,2822,0
United States,Dec 31 2020,3778,2706,0
United States,Dec 30 2020,3766,2599,0
United States,Dec 29 2020,3349,2517,0
United States,Dec 28 2020,2260,2455,0
United States,Dec 27 2020,1891,2447,0
United States,Dec 26 2020,1680,2474,0
United States,Dec 25 2020,2218,2616,0
United States,Dec 24 2020,3033,2725,0
United States,Dec 23 2020,3190,2769,0
United States,Dec 22 2020,2914,2799,0
United States,Dec 21 2020,2208,2777,0
United States,Dec 20 2020,2075,2753,0
United States,Dec 19 2020,2676,2749,0
United States,Dec 18 2020,2982,2710,0
United States,Dec 17 2020,3342,2744,0
United States,Dec 16 2020,3399,2653,0
United States,Dec 15 2020,2761,2649,0
United States,Dec 14 2020,2040,2619,0
United States,Dec 13 2020,2044,2616,0
United States,Dec 12 2020,2403,2556,0
United States,Dec 11 2020,3220,2548,0
United States,Dec 10 2020,2705,2464,0
United States,Dec  9 2020,3374,2466,0
United States,Dec  8 2020,2549,2382,0
United States,Dec  7 2020,2022,2360,0
United States,Dec  6 2020,1622,2301,0
United States,Dec  5 2020,2347,2252,0
United States,Dec  4 2020,2634,2130,0
United States,Dec  3 2020,2717,1994,0
United States,Dec  2 2020,2789,1844,0
United States,Dec  1 2020,2389,1776,0
United States,Nov 30 2020,1610,1703,0
United States,Nov 29 2020,1281,1685,0
United States,Nov 28 2020,1494,1689,0
United States,Nov 27 2020,1682,1720,0
United States,Nov 26 2020,1669,1765,0
United States,Nov 25 2020,2311,1800,0
United States,Nov 24 2020,1879,1736,0
United States,Nov 23 2020,1482,1695,0
United States,Nov 22 2020,1307,1635,0
United States,Nov 21 2020,1713,1598,0
United States,Nov 20 2020,1997,1560,0
United States,Nov 19 2020,1914,1458,0
United States,Nov 18 2020,1863,1381,0
United States,Nov 17 2020,1593,1331,0
United States,Nov 16 2020,1064,1279,0
United States,Nov 15 2020,1045,1264,0
United States,Nov 14 2020,1448,1242,0
United States,Nov 13 2020,1280,1188,0
United States,Nov 12 2020,1376,1190,0
United States,Nov 11 2020,1512,1167,0
United States,Nov 10 2020,1230,1138,466
United States,Nov  9 2020,961,1112,0
United States,Nov  8 2020,887,1082,0
United States,Nov  7 2020,1072,1057,0
United States,Nov  6 2020,1298,1037,0
United States,Nov  5 2020,1214,984,0
United States,Nov  4 2020,1308,969,0
United States,Nov  3 2020,1045,937,0
United States,Nov  2 2020,752,915,0
United States,Nov  1 2020,711,908,0
United States,Oct 31 2020,934,894,0
United States,Oct 30 2020,928,874,0
United States,Oct 29 2020,1108,876,0
United States,Oct 28 2020,1081,851,0
United States,Oct 27 2020,895,846,0
United States,Oct 26 2020,702,833,0
United States,Oct 25 2020,614,821,0
United States,Oct 24 2020,793,841,0
United States,Oct 23 2020,944,825,0
United States,Oct 22 2020,930,817,0
United States,Oct 21 2020,1045,786,0
United States,Oct 20 2020,803,754,0
United States,Oct 19 2020,618,734,0
United States,Oct 18 2020,760,718,0
United States,Oct 17 2020,679,692,0
United States,Oct 16 2020,884,693,0
United States,Oct 15 2020,714,679,0
United States,Oct 14 2020,821,682,0
United States,Oct 13 2020,663,680,0
United States,Oct 12 2020,505,677,0
United States,Oct 11 2020,584,681,0
United States,Oct 10 2020,680,684,0
United States,Oct  9 2020,792,664,0
United States,Oct  8 2020,731,682,0
United States,Oct  7 2020,807,686,0
United States,Oct  6 2020,642,669,0
United States,Oct  5 2020,532,691,0
United States,Oct  4 2020,605,676,0
United States,Oct  3 2020,541,661,0
United States,Oct  2 2020,917,679,0
United States,Oct  1 2020,760,658,0
United States,Sep 30 2020,689,655,0
United States,Sep 29 2020,799,688,0
United States,Sep 28 2020,421,667,0
United States,Sep 27 2020,501,690,0
United States,Sep 26 2020,672,686,0
United States,Sep 25 2020,770,683,0
United States,Sep 24 2020,736,691,0
United States,Sep 23 2020,917,690,0
United States,Sep 22 2020,655,716,0
United States,Sep 21 2020,579,733,0
United States,Sep 20 2020,474,716,0
United States,Sep 19 2020,653,754,0
United States,Sep 18 2020,824,755,0
United States,Sep 17 2020,731,762,0
United States,Sep 16 2020,1096,778,0
United States,Sep 15 2020,780,743,0
United States,Sep 14 2020,457,713,0
United States,Sep 13 2020,743,708,0
United States,Sep 12 2020,655,702,0
United States,Sep 11 2020,873,721,0
United States,Sep 10 2020,843,728,0
United States,Sep  9 2020,852,743,0
United States,Sep  8 2020,574,747,0
United States,Sep  7 2020,421,789,0
United States,Sep  6 2020,696,811,0
United States,Sep  5 2020,791,816,0
United States,Sep  4 2020,924,820,0
United States,Sep  3 2020,949,836,0
United States,Sep  2 2020,880,838,0
United States,Sep  1 2020,864,864,0
United States,Aug 31 2020,574,869,0
United States,Aug 30 2020,734,874,0
United States,Aug 29 2020,818,889,0
United States,Aug 28 2020,1037,914,0
United States,Aug 27 2020,961,913,0
United States,Aug 26 2020,1063,919,0
United States,Aug 25 2020,898,949,0
United States,Aug 24 2020,608,956,0
United States,Aug 23 2020,841,964,0
United States,Aug 22 2020,991,970,0
United States,Aug 21 2020,1034,964,0
United States,Aug 20 2020,998,968,0
United States,Aug 19 2020,1276,999,0
United States,Aug 18 2020,950,1010,0
United States,Aug 17 2020,664,1031,0
United States,Aug 16 2020,881,1055,0
United States,Aug 15 2020,948,1057,0
United States,Aug 14 2020,1063,1070,0
United States,Aug 13 2020,1212,1107,0
United States,Aug 12 2020,1356,1108,0
United States,Aug 11 2020,1095,1095,0
United States,Aug 10 2020,831,1094,0
United States,Aug  9 2020,897,1103,0
United States,Aug  8 2020,1041,1105,0
United States,Aug  7 2020,1322,1119,0
United States,Aug  6 2020,1217,1129,0
United States,Aug  5 2020,1268,1159,0
United States,Aug  4 2020,1085,1144,0
United States,Aug  3 2020,895,1160,0
United States,Aug  2 2020,911,1168,0
United States,Aug  1 2020,1136,1175,0
United States,Jul 31 2020,1391,1176,0
United States,Jul 30 2020,1432,1170,0
United States,Jul 29 2020,1161,1147,0
United States,Jul 28 2020,1197,1150,0
United States,Jul 27 2020,953,1150,0
United States,Jul 26 2020,959,1140,0
United States,Jul 25 2020,1145,1137,0
United States,Jul 24 2020,1347,1116,0
United States,Jul 23 2020,1268,1079,0
United States,Jul 22 2020,1186,1053,0
United States,Jul 21 2020,1193,1046,0
United States,Jul 20 2020,882,1008,0
United States,Jul 19 2020,938,987,0
United States,Jul 18 2020,1002,972,0
United States,Jul 17 2020,1088,956,0
United States,Jul 16 2020,1083,937,0
United States,Jul 15 2020,1140,919,0
United States,Jul 14 2020,928,911,0
United States,Jul 13 2020,733,910,0
United States,Jul 12 2020,834,896,0
United States,Jul 11 2020,889,842,0
United States,Jul 10 2020,953,791,0
United States,Jul  9 2020,956,773,0
United States,Jul  8 2020,1084,736,0
United States,Jul  7 2020,925,693,0
United States,Jul  6 2020,635,651,0
United States,Jul  5 2020,455,630,0
United States,Jul  4 2020,531,626,0
United States,Jul  3 2020,827,633,0
United States,Jul  2 2020,697,615,0
United States,Jul  1 2020,786,617,0
United States,Jun 30 2020,632,604,0
United States,Jun 29 2020,488,619,0
United States,Jun 28 2020,421,621,0
United States,Jun 27 2020,580,620,0
United States,Jun 26 2020,704,619,0
United States,Jun 25 2020,713,626,1824
United States,Jun 24 2020,692,616,0
United States,Jun 23 2020,741,614,0
United States,Jun 22 2020,501,602,0
United States,Jun 21 2020,409,607,0
United States,Jun 20 2020,576,618,0
United States,Jun 19 2020,756,632,0
United States,Jun 18 2020,640,628,0
United States,Jun 17 2020,679,662,0
United States,Jun 16 2020,654,690,0
United States,Jun 15 2020,541,714,0
United States,Jun 14 2020,486,749,0
United States,Jun 13 2020,671,764,0
United States,Jun 12 2020,731,764,0
United States,Jun 11 2020,878,783,0
United States,Jun 10 2020,871,781,0
United States,Jun  9 2020,822,806,0
United States,Jun  8 2020,790,821,0
United States,Jun  7 2020,590,807,0
United States,Jun  6 2020,670,822,0
United States,Jun  5 2020,863,852,0
United States,Jun  4 2020,867,875,0
United States,Jun  3 2020,1043,925,0
United States,Jun  2 2020,926,959,0
United States,Jun  1 2020,691,946,0
United States,May 31 2020,694,944,0
United States,May 30 2020,885,961,0
United States,May 29 2020,1025,963,0
United States,May 28 2020,1211,1077,0
United States,May 27 2020,1284,1058,0
United States,May 26 2020,832,1069,0
United States,May 25 2020,677,1120,0
United States,May 24 2020,816,1159,0
United States,May 23 2020,897,1175,0
United States,May 22 2020,1823,1221,0
United States,May 21 2020,1082,1183,0
United States,May 20 2020,1362,1306,0
United States,May 19 2020,1184,1327,0
United States,May 18 2020,951,1377,0
United States,May 17 2020,931,1395,0
United States,May 16 2020,1220,1418,0
United States,May 15 2020,1552,1455,0
United States,May 14 2020,1946,1464,0
United States,May 13 2020,1510,1489,0
United States,May 12 2020,1531,1606,0
United States,May 11 2020,1077,1735,0
United States,May 10 2020,1091,1760,0
United States,May  9 2020,1481,1808,0
United States,May  8 2020,1617,1825,0
United States,May  7 2020,2120,1870,0
United States,May  6 2020,2325,1885,0
United States,May  5 2020,2436,1900,0
United States,May  4 2020,1253,1856,0
United States,May  3 2020,1430,1893,0
United States,May  2 2020,1599,1912,0
United States,May  1 2020,1928,1947,0
United States,Apr 30 2020,2224,1971,0
United States,Apr 29 2020,2436,1942,0
United States,Apr 28 2020,2126,1917,0
United States,Apr 27 2020,1510,1991,0
United States,Apr 26 2020,1562,2071,0
United States,Apr 25 2020,1849,2135,0
United States,Apr 24 2020,2096,2140,0
United States,Apr 23 2020,2020,2174,0
United States,Apr 22 2020,2256,2233,0
United States,Apr 21 2020,2646,2299,0
United States,Apr 20 2020,2072,2273,0
United States,Apr 19 2020,2012,2249,0
United States,Apr 18 2020,1879,2228,0
United States,Apr 17 2020,2337,2276,0
United States,Apr 16 2020,2433,2262,0
United States,Apr 15 2020,2717,2231,0
United States,Apr 14 2020,2462,2165,0
United States,Apr 13 2020,1908,2115,0
United States,Apr 12 2020,1861,2084,0
United States,Apr 11 2020,2217,2086,0
United States,Apr 10 2020,2242,1990,0
United States,Apr  9 2020,2215,1868,0
United States,Apr  8 2020,2254,1739,0
United States,Apr  7 2020,2108,1578,0
United States,Apr  6 2020,1694,1417,0
United States,Apr  5 2020,1876,1265,0
United States,Apr  4 2020,1545,1092,0
United States,Apr  3 2020,1384,952,0
United States,Apr  2 2020,1315,824,0
United States,Apr  1 2020,1125,685,0
United States,Mar 31 2020,985,567,0
United States,Mar 30 2020,630,457,0
United States,Mar 29 2020,664,390,0
United States,Mar 28 2020,566,312,0
United States,Mar 27 2020,487,247,0
United States,Mar 26 2020,339,191,0
United States,Mar 25 2020,301,152,0
United States,Mar 24 2020,213,119,0
United States,Mar 23 2020,160,92,0
United States,Mar 22 2020,124,72,0
United States,Mar 21 2020,109,57,0
United States,Mar 20 2020,95,44,0
United States,Mar 19 2020,67,32,0
United States,Mar 18 2020,66,23,0
United States,Mar 17 2020,27,15,0
United States,Mar 16 2020,21,12,0
United States,Mar 15 2020,19,10,0
United States,Mar 14 2020,13,8,0
United States,Mar 13 2020,11,7,0
United States,Mar 12 2020,7,6,0
United States,Mar 11 2020,12,5,0
United States,Mar 10 2020,7,4,0
United States,Mar  9 2020,4,3,0
United States,Mar  8 2020,4,3,0
United States,Mar  7 2020,5,3,0
United States,Mar  6 2020,3,2,0
United States,Mar  5 2020,3,2,0
United States,Mar  4 2020,2,1,0
United States,Mar  3 2020,3,1,0
United States,Mar  2 2020,6,1,0
United States,Mar  1 2020,0,0,0
United States,Feb 29 2020,1,0,0
United States,Feb 28 2020,0,0,0
United States,Feb 27 2020,1,0,0
United States,Feb 26 2020,0,0,0
United States,Feb 25 2020,0,0,0
United States,Feb 24 2020,0,0,0
United States,Feb 23 2020,0,0,0
United States,Feb 22 2020,0,0,0
United States,Feb 21 2020,0,0,0
United States,Feb 20 2020,0,0,0
United States,Feb 19 2020,0,0,0
United States,Feb 18 2020,0,0,0
United States,Feb 17 2020,0,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 13 2020,0,0,0
United States,Feb 12 2020,0,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,0,0,0
United States,Feb  7 2020,0,0,0
United States,Feb  6 2020,0,0,0
United States,Feb  5 2020,0,0,0
United States,Feb  4 2020,0,0,0
United States,Feb  3 2020,0,0,0
United States,Feb  2 2020,0,0,0
United States,Feb  1 2020,0,0,0
United States,Jan 31 2020,0,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,0,0,0
United States,Jan 27 2020,0,0,0
United States,Jan 26 2020,0,0,0
United States,Jan 25 2020,0,0,0
United States,Jan 24 2020,0,0,0
United States,Jan 23 2020,0,0,0
